Index,Direction,Datetime,Date
31,Entry,2023-01-25 07:32:35,2023-01-25
36293,Entry,2023-01-25 07:32:45,2023-01-25
11698,Entry,2023-01-25 07:32:49,2023-01-25
40689,Entry,2023-01-25 07:32:53,2023-01-25
485,Entry,2023-01-25 07:40:10,2023-01-25
22214,Entry,2023-01-25 07:40:12,2023-01-25
36039,Entry,2023-01-25 07:48:11,2023-01-25
11749,Entry,2023-01-25 07:59:03,2023-01-25
44778,Exit,2023-01-25 08:16:38,2023-01-25
32,Entry,2023-01-25 08:19:02,2023-01-25
56496,Exit,2023-01-25 08:41:18,2023-01-25
7639,Entry,2023-01-25 08:51:46,2023-01-25
12073,Entry,2023-01-25 08:51:47,2023-01-25
22080,Entry,2023-01-25 08:51:51,2023-01-25
36074,Entry,2023-01-25 08:51:53,2023-01-25
129,Entry,2023-01-25 08:51:55,2023-01-25
9292,Entry,2023-01-25 08:51:57,2023-01-25
1320,Entry,2023-01-25 08:52:05,2023-01-25
1714,Entry,2023-01-25 08:52:41,2023-01-25
22284,Entry,2023-01-25 08:53:06,2023-01-25
11800,Entry,2023-01-25 08:53:06,2023-01-25
30819,Entry,2023-01-25 08:53:21,2023-01-25
21867,Entry,2023-01-25 08:53:29,2023-01-25
131,Entry,2023-01-25 08:53:48,2023-01-25
14071,Entry,2023-01-25 08:54:28,2023-01-25
22421,Entry,2023-01-25 08:54:32,2023-01-25
143,Entry,2023-01-25 08:54:35,2023-01-25
30523,Entry,2023-01-25 08:56:42,2023-01-25
146,Entry,2023-01-25 08:58:19,2023-01-25
21875,Entry,2023-01-25 08:59:53,2023-01-25
26660,Entry,2023-01-25 09:00:00,2023-01-25
30660,Entry,2023-01-25 09:00:04,2023-01-25
168,Entry,2023-01-25 09:00:34,2023-01-25
30525,Entry,2023-01-25 09:00:38,2023-01-25
11813,Entry,2023-01-25 09:02:34,2023-01-25
21933,Entry,2023-01-25 09:02:57,2023-01-25
22110,Entry,2023-01-25 09:03:05,2023-01-25
699,Entry,2023-01-25 09:03:11,2023-01-25
21937,Entry,2023-01-25 09:03:11,2023-01-25
20630,Entry,2023-01-25 09:03:13,2023-01-25
36129,Entry,2023-01-25 09:03:17,2023-01-25
11816,Entry,2023-01-25 09:03:43,2023-01-25
36530,Entry,2023-01-25 09:04:39,2023-01-25
44915,Exit,2023-01-25 09:04:42,2023-01-25
21943,Entry,2023-01-25 09:06:08,2023-01-25
22786,Entry,2023-01-25 09:07:00,2023-01-25
11817,Entry,2023-01-25 09:07:55,2023-01-25
184,Entry,2023-01-25 09:07:55,2023-01-25
892,Entry,2023-01-25 09:07:57,2023-01-25
30764,Entry,2023-01-25 09:08:00,2023-01-25
40755,Entry,2023-01-25 09:08:18,2023-01-25
11892,Entry,2023-01-25 09:08:26,2023-01-25
30604,Entry,2023-01-25 09:08:33,2023-01-25
36590,Entry,2023-01-25 09:09:16,2023-01-25
21967,Entry,2023-01-25 09:10:08,2023-01-25
11900,Entry,2023-01-25 09:10:26,2023-01-25
44931,Exit,2023-01-25 09:10:30,2023-01-25
11410,Entry,2023-01-25 09:10:31,2023-01-25
435,Entry,2023-01-25 09:11:01,2023-01-25
56560,Exit,2023-01-25 09:11:07,2023-01-25
80876,Exit,2023-01-25 09:11:21,2023-01-25
21968,Entry,2023-01-25 09:11:33,2023-01-25
211,Entry,2023-01-25 09:13:22,2023-01-25
36422,Entry,2023-01-25 09:13:34,2023-01-25
11902,Entry,2023-01-25 09:13:40,2023-01-25
947,Entry,2023-01-25 09:14:09,2023-01-25
1779,Entry,2023-01-25 09:15:26,2023-01-25
22027,Entry,2023-01-25 09:15:32,2023-01-25
1191,Entry,2023-01-25 09:15:38,2023-01-25
43406,Entry,2023-01-25 09:16:37,2023-01-25
11907,Entry,2023-01-25 09:17:30,2023-01-25
40760,Entry,2023-01-25 09:18:15,2023-01-25
75351,Exit,2023-01-25 09:18:49,2023-01-25
11814,Entry,2023-01-25 09:19:10,2023-01-25
36130,Entry,2023-01-25 09:19:52,2023-01-25
36398,Entry,2023-01-25 09:22:55,2023-01-25
22028,Entry,2023-01-25 09:23:47,2023-01-25
12101,Entry,2023-01-25 09:23:48,2023-01-25
242,Entry,2023-01-25 09:23:51,2023-01-25
11929,Entry,2023-01-25 09:24:59,2023-01-25
22041,Entry,2023-01-25 09:26:20,2023-01-25
306,Entry,2023-01-25 09:26:53,2023-01-25
43410,Entry,2023-01-25 09:27:01,2023-01-25
30617,Entry,2023-01-25 09:27:06,2023-01-25
30865,Entry,2023-01-25 09:28:22,2023-01-25
22047,Entry,2023-01-25 09:28:37,2023-01-25
40871,Entry,2023-01-25 09:28:46,2023-01-25
30423,Entry,2023-01-25 09:29:11,2023-01-25
1716,Entry,2023-01-25 09:29:13,2023-01-25
36149,Entry,2023-01-25 09:29:34,2023-01-25
13220,Entry,2023-01-25 09:29:45,2023-01-25
45053,Exit,2023-01-25 09:31:49,2023-01-25
22740,Entry,2023-01-25 09:32:08,2023-01-25
40954,Entry,2023-01-25 09:32:29,2023-01-25
36218,Entry,2023-01-25 09:32:31,2023-01-25
18125,Entry,2023-01-25 09:33:43,2023-01-25
22077,Entry,2023-01-25 09:33:45,2023-01-25
36616,Entry,2023-01-25 09:33:57,2023-01-25
75407,Exit,2023-01-25 09:35:41,2023-01-25
40774,Entry,2023-01-25 09:36:20,2023-01-25
22100,Entry,2023-01-25 09:36:22,2023-01-25
36427,Entry,2023-01-25 09:38:04,2023-01-25
12860,Entry,2023-01-25 09:38:05,2023-01-25
36233,Entry,2023-01-25 09:38:10,2023-01-25
939,Entry,2023-01-25 09:38:24,2023-01-25
40829,Entry,2023-01-25 09:38:29,2023-01-25
11936,Entry,2023-01-25 09:40:00,2023-01-25
36240,Entry,2023-01-25 09:40:22,2023-01-25
36759,Entry,2023-01-25 09:40:27,2023-01-25
11938,Entry,2023-01-25 09:40:29,2023-01-25
335,Entry,2023-01-25 09:40:58,2023-01-25
56564,Exit,2023-01-25 09:41:19,2023-01-25
371,Entry,2023-01-25 09:41:28,2023-01-25
393,Entry,2023-01-25 09:41:29,2023-01-25
418,Entry,2023-01-25 09:42:00,2023-01-25
56654,Exit,2023-01-25 09:42:35,2023-01-25
1374,Entry,2023-01-25 09:42:38,2023-01-25
11948,Entry,2023-01-25 09:42:50,2023-01-25
424,Entry,2023-01-25 09:43:26,2023-01-25
434,Entry,2023-01-25 09:43:31,2023-01-25
11950,Entry,2023-01-25 09:43:37,2023-01-25
66622,Exit,2023-01-25 09:44:08,2023-01-25
30678,Entry,2023-01-25 09:44:45,2023-01-25
56563,Exit,2023-01-25 09:44:51,2023-01-25
44779,Exit,2023-01-25 09:44:57,2023-01-25
43561,Entry,2023-01-25 09:45:15,2023-01-25
44989,Exit,2023-01-25 09:45:18,2023-01-25
66827,Exit,2023-01-25 09:45:40,2023-01-25
85576,Exit,2023-01-25 09:45:51,2023-01-25
66847,Exit,2023-01-25 09:46:23,2023-01-25
30679,Entry,2023-01-25 09:46:27,2023-01-25
30685,Entry,2023-01-25 09:46:33,2023-01-25
36246,Entry,2023-01-25 09:46:39,2023-01-25
62872,Exit,2023-01-25 09:47:47,2023-01-25
80786,Exit,2023-01-25 09:47:52,2023-01-25
36249,Entry,2023-01-25 09:47:58,2023-01-25
11957,Entry,2023-01-25 09:48:10,2023-01-25
1174,Entry,2023-01-25 09:48:26,2023-01-25
66614,Exit,2023-01-25 09:48:37,2023-01-25
30998,Entry,2023-01-25 09:48:45,2023-01-25
66794,Exit,2023-01-25 09:48:55,2023-01-25
653,Entry,2023-01-25 09:49:07,2023-01-25
22486,Entry,2023-01-25 09:49:23,2023-01-25
22103,Entry,2023-01-25 09:49:28,2023-01-25
22102,Entry,2023-01-25 09:49:42,2023-01-25
36040,Entry,2023-01-25 09:49:55,2023-01-25
1362,Entry,2023-01-25 09:50:08,2023-01-25
22634,Entry,2023-01-25 09:50:09,2023-01-25
44958,Exit,2023-01-25 09:50:11,2023-01-25
10615,Entry,2023-01-25 09:50:26,2023-01-25
66850,Exit,2023-01-25 09:50:37,2023-01-25
66857,Exit,2023-01-25 09:51:04,2023-01-25
45182,Exit,2023-01-25 09:51:13,2023-01-25
11982,Entry,2023-01-25 09:51:15,2023-01-25
12690,Entry,2023-01-25 09:51:48,2023-01-25
30824,Entry,2023-01-25 09:51:50,2023-01-25
212,Entry,2023-01-25 09:51:58,2023-01-25
22113,Entry,2023-01-25 09:52:20,2023-01-25
40940,Entry,2023-01-25 09:52:23,2023-01-25
45171,Exit,2023-01-25 09:52:48,2023-01-25
30692,Entry,2023-01-25 09:52:49,2023-01-25
22604,Entry,2023-01-25 09:52:54,2023-01-25
12414,Entry,2023-01-25 09:52:56,2023-01-25
1071,Entry,2023-01-25 09:52:57,2023-01-25
30895,Entry,2023-01-25 09:54:21,2023-01-25
11908,Entry,2023-01-25 09:54:29,2023-01-25
445,Entry,2023-01-25 09:54:47,2023-01-25
966,Entry,2023-01-25 09:54:54,2023-01-25
476,Entry,2023-01-25 09:55:00,2023-01-25
481,Entry,2023-01-25 09:55:05,2023-01-25
12847,Entry,2023-01-25 09:55:24,2023-01-25
45232,Exit,2023-01-25 09:55:25,2023-01-25
30946,Entry,2023-01-25 09:55:38,2023-01-25
40845,Entry,2023-01-25 09:55:46,2023-01-25
530,Entry,2023-01-25 09:55:59,2023-01-25
23009,Entry,2023-01-25 09:57:06,2023-01-25
12119,Entry,2023-01-25 09:57:11,2023-01-25
66961,Exit,2023-01-25 09:57:20,2023-01-25
36254,Entry,2023-01-25 09:57:23,2023-01-25
12008,Entry,2023-01-25 09:58:25,2023-01-25
45082,Exit,2023-01-25 09:58:37,2023-01-25
30697,Entry,2023-01-25 09:58:44,2023-01-25
12232,Entry,2023-01-25 10:00:45,2023-01-25
43549,Entry,2023-01-25 10:01:13,2023-01-25
13212,Entry,2023-01-25 10:01:27,2023-01-25
88157,Exit,2023-01-25 10:01:45,2023-01-25
22822,Entry,2023-01-25 10:02:06,2023-01-25
12035,Entry,2023-01-25 10:02:15,2023-01-25
11563,Entry,2023-01-25 10:02:36,2023-01-25
960,Entry,2023-01-25 10:02:40,2023-01-25
30759,Entry,2023-01-25 10:02:42,2023-01-25
22104,Entry,2023-01-25 10:02:44,2023-01-25
36278,Entry,2023-01-25 10:03:04,2023-01-25
1211,Entry,2023-01-25 10:03:05,2023-01-25
22252,Entry,2023-01-25 10:03:16,2023-01-25
336,Entry,2023-01-25 10:03:37,2023-01-25
43413,Entry,2023-01-25 10:03:38,2023-01-25
12118,Entry,2023-01-25 10:03:40,2023-01-25
12040,Entry,2023-01-25 10:03:59,2023-01-25
30813,Entry,2023-01-25 10:04:07,2023-01-25
602,Entry,2023-01-25 10:04:13,2023-01-25
12041,Entry,2023-01-25 10:04:15,2023-01-25
12260,Entry,2023-01-25 10:04:23,2023-01-25
541,Entry,2023-01-25 10:04:27,2023-01-25
12186,Entry,2023-01-25 10:04:29,2023-01-25
40482,Entry,2023-01-25 10:04:39,2023-01-25
22262,Entry,2023-01-25 10:04:50,2023-01-25
12043,Entry,2023-01-25 10:04:51,2023-01-25
37081,Entry,2023-01-25 10:05:01,2023-01-25
75426,Exit,2023-01-25 10:05:04,2023-01-25
36633,Entry,2023-01-25 10:05:18,2023-01-25
12603,Entry,2023-01-25 10:05:24,2023-01-25
22499,Entry,2023-01-25 10:05:35,2023-01-25
12058,Entry,2023-01-25 10:05:36,2023-01-25
22414,Entry,2023-01-25 10:05:47,2023-01-25
1590,Entry,2023-01-25 10:05:50,2023-01-25
80896,Exit,2023-01-25 10:05:53,2023-01-25
595,Entry,2023-01-25 10:06:30,2023-01-25
81025,Exit,2023-01-25 10:07:29,2023-01-25
1489,Entry,2023-01-25 10:07:41,2023-01-25
75511,Exit,2023-01-25 10:07:54,2023-01-25
13337,Entry,2023-01-25 10:07:57,2023-01-25
30810,Entry,2023-01-25 10:07:59,2023-01-25
599,Entry,2023-01-25 10:08:42,2023-01-25
43411,Entry,2023-01-25 10:08:44,2023-01-25
1425,Entry,2023-01-25 10:09:20,2023-01-25
56704,Exit,2023-01-25 10:09:28,2023-01-25
56820,Exit,2023-01-25 10:09:36,2023-01-25
45349,Exit,2023-01-25 10:10:03,2023-01-25
12424,Entry,2023-01-25 10:10:09,2023-01-25
30773,Entry,2023-01-25 10:11:10,2023-01-25
43419,Entry,2023-01-25 10:12:10,2023-01-25
307,Entry,2023-01-25 10:12:15,2023-01-25
2016,Entry,2023-01-25 10:12:30,2023-01-25
22710,Entry,2023-01-25 10:12:36,2023-01-25
603,Entry,2023-01-25 10:12:48,2023-01-25
30680,Entry,2023-01-25 10:13:38,2023-01-25
1884,Entry,2023-01-25 10:13:44,2023-01-25
45083,Exit,2023-01-25 10:13:49,2023-01-25
40846,Entry,2023-01-25 10:13:54,2023-01-25
12640,Entry,2023-01-25 10:14:00,2023-01-25
30848,Entry,2023-01-25 10:14:01,2023-01-25
36279,Entry,2023-01-25 10:14:02,2023-01-25
56848,Exit,2023-01-25 10:14:39,2023-01-25
30893,Entry,2023-01-25 10:14:39,2023-01-25
81040,Exit,2023-01-25 10:14:56,2023-01-25
36388,Entry,2023-01-25 10:15:06,2023-01-25
40852,Entry,2023-01-25 10:15:27,2023-01-25
36538,Entry,2023-01-25 10:15:27,2023-01-25
22374,Entry,2023-01-25 10:15:38,2023-01-25
66999,Exit,2023-01-25 10:16:39,2023-01-25
40867,Entry,2023-01-25 10:16:48,2023-01-25
605,Entry,2023-01-25 10:16:49,2023-01-25
36347,Entry,2023-01-25 10:16:52,2023-01-25
13601,Entry,2023-01-25 10:17:02,2023-01-25
66715,Exit,2023-01-25 10:17:15,2023-01-25
22215,Entry,2023-01-25 10:17:52,2023-01-25
486,Entry,2023-01-25 10:17:52,2023-01-25
12113,Entry,2023-01-25 10:19:00,2023-01-25
43434,Entry,2023-01-25 10:19:08,2023-01-25
31148,Entry,2023-01-25 10:19:35,2023-01-25
56865,Exit,2023-01-25 10:20:37,2023-01-25
185,Entry,2023-01-25 10:20:52,2023-01-25
45400,Exit,2023-01-25 10:21:15,2023-01-25
40991,Entry,2023-01-25 10:21:27,2023-01-25
12334,Entry,2023-01-25 10:24:01,2023-01-25
36519,Entry,2023-01-25 10:24:02,2023-01-25
67031,Exit,2023-01-25 10:24:34,2023-01-25
658,Entry,2023-01-25 10:25:13,2023-01-25
22289,Entry,2023-01-25 10:26:08,2023-01-25
67009,Exit,2023-01-25 10:28:16,2023-01-25
44932,Exit,2023-01-25 10:28:54,2023-01-25
22335,Entry,2023-01-25 10:29:06,2023-01-25
29479,Entry,2023-01-25 10:29:07,2023-01-25
12102,Entry,2023-01-25 10:29:25,2023-01-25
44878,Exit,2023-01-25 10:29:44,2023-01-25
22347,Entry,2023-01-25 10:29:46,2023-01-25
18252,Entry,2023-01-25 10:29:54,2023-01-25
36379,Entry,2023-01-25 10:30:08,2023-01-25
36366,Entry,2023-01-25 10:30:16,2023-01-25
12354,Entry,2023-01-25 10:30:38,2023-01-25
22428,Entry,2023-01-25 10:30:53,2023-01-25
56866,Exit,2023-01-25 10:31:03,2023-01-25
67036,Exit,2023-01-25 10:31:15,2023-01-25
22263,Entry,2023-01-25 10:31:19,2023-01-25
30775,Entry,2023-01-25 10:32:23,2023-01-25
36374,Entry,2023-01-25 10:32:33,2023-01-25
22346,Entry,2023-01-25 10:32:34,2023-01-25
337,Entry,2023-01-25 10:32:56,2023-01-25
132,Entry,2023-01-25 10:33:19,2023-01-25
12130,Entry,2023-01-25 10:33:35,2023-01-25
81126,Exit,2023-01-25 10:33:37,2023-01-25
36150,Entry,2023-01-25 10:34:01,2023-01-25
67094,Exit,2023-01-25 10:34:07,2023-01-25
12120,Entry,2023-01-25 10:34:23,2023-01-25
12946,Entry,2023-01-25 10:34:44,2023-01-25
56445,Exit,2023-01-25 10:35:51,2023-01-25
12162,Entry,2023-01-25 10:35:53,2023-01-25
36382,Entry,2023-01-25 10:36:04,2023-01-25
12352,Entry,2023-01-25 10:36:16,2023-01-25
45446,Exit,2023-01-25 10:36:22,2023-01-25
45084,Exit,2023-01-25 10:36:35,2023-01-25
30782,Entry,2023-01-25 10:36:35,2023-01-25
33,Entry,2023-01-25 10:36:39,2023-01-25
22997,Entry,2023-01-25 10:36:48,2023-01-25
700,Entry,2023-01-25 10:38:29,2023-01-25
22372,Entry,2023-01-25 10:38:48,2023-01-25
44780,Exit,2023-01-25 10:39:22,2023-01-25
22571,Entry,2023-01-25 10:39:58,2023-01-25
338,Entry,2023-01-25 10:40:03,2023-01-25
701,Entry,2023-01-25 10:40:14,2023-01-25
43439,Entry,2023-01-25 10:40:18,2023-01-25
40910,Entry,2023-01-25 10:41:16,2023-01-25
930,Entry,2023-01-25 10:41:17,2023-01-25
67121,Exit,2023-01-25 10:41:35,2023-01-25
12249,Entry,2023-01-25 10:41:38,2023-01-25
22384,Entry,2023-01-25 10:41:40,2023-01-25
22376,Entry,2023-01-25 10:41:54,2023-01-25
736,Entry,2023-01-25 10:42:17,2023-01-25
1015,Entry,2023-01-25 10:42:37,2023-01-25
56685,Exit,2023-01-25 10:43:03,2023-01-25
