week,day,hour,level,seat_type,occupancy
1,1,9,3,Discussion.Cubicles,2
1,1,9,3,Soft.seats,1
1,1,9,3,Moveable.seats,1
1,1,9,4,Soft.seats,4
1,1,9,4,Sofa,3
1,1,9,5,Windowed.Seats,3
1,1,9,5,X4.man.tables,2
1,1,9,5,X8.man.tables,1
1,1,9,6,Diagonal.Seats,2
1,1,9,6,Cubicle.seats,2
1,1,9,6,Windowed.Seats,2
1,1,9,6Chinese,Diagonal.Seats,1
1,1,9,6Chinese,Cubicle.seats,2
1,1,9,6Chinese,Windowed.Seats,2
1,1,10,3,Discussion.Cubicles,7
1,1,10,3,Soft.seats,4
1,1,10,3,Moveable.seats,3
1,1,10,4,Soft.seats,21
1,1,10,4,Sofa,14
1,1,10,5,Windowed.Seats,11
1,1,10,5,X4.man.tables,6
1,1,10,5,X8.man.tables,4
1,1,10,6,Diagonal.Seats,7
1,1,10,6,Cubicle.seats,11
1,1,10,6,Windowed.Seats,11
1,1,10,6Chinese,Diagonal.Seats,4
1,1,10,6Chinese,Cubicle.seats,6
1,1,10,6Chinese,Windowed.Seats,6
1,1,11,3,Discussion.Cubicles,14
1,1,11,3,Soft.seats,8
1,1,11,3,Moveable.seats,6
1,1,11,4,Soft.seats,45
1,1,11,4,Sofa,30
1,1,11,5,Windowed.Seats,24
1,1,11,5,X4.man.tables,13
1,1,11,5,X8.man.tables,8
1,1,11,6,Diagonal.Seats,15
1,1,11,6,Cubicle.seats,24
1,1,11,6,Windowed.Seats,23
1,1,11,6Chinese,Diagonal.Seats,7
1,1,11,6Chinese,Cubicle.seats,12
1,1,11,6Chinese,Windowed.Seats,11
1,1,12,3,Discussion.Cubicles,17
1,1,12,3,Soft.seats,10
1,1,12,3,Moveable.seats,8
1,1,12,4,Soft.seats,92
1,1,12,4,Sofa,32
1,1,12,5,Windowed.Seats,29
1,1,12,5,X4.man.tables,16
1,1,12,5,X8.man.tables,10
1,1,12,6,Diagonal.Seats,18
1,1,12,6,Cubicle.seats,29
1,1,12,6,Windowed.Seats,29
1,1,12,6Chinese,Diagonal.Seats,9
1,1,12,6Chinese,Cubicle.seats,14
1,1,12,6Chinese,Windowed.Seats,14
1,1,13,3,Discussion.Cubicles,32
1,1,13,3,Soft.seats,19
1,1,13,3,Moveable.seats,13
1,1,13,4,Soft.seats,103
1,1,13,4,Sofa,32
1,1,13,5,Windowed.Seats,44
1,1,13,5,X4.man.tables,24
1,1,13,5,X8.man.tables,15
1,1,13,6,Diagonal.Seats,22
1,1,13,6,Cubicle.seats,36
1,1,13,6,Windowed.Seats,35
1,1,13,6Chinese,Diagonal.Seats,19
1,1,13,6Chinese,Cubicle.seats,20
1,1,13,6Chinese,Windowed.Seats,18
1,1,14,3,Discussion.Cubicles,31
1,1,14,3,Soft.seats,30
1,1,14,3,Moveable.seats,15
1,1,14,4,Soft.seats,137
1,1,14,4,Sofa,32
1,1,14,5,Windowed.Seats,59
1,1,14,5,X4.man.tables,32
1,1,14,5,X8.man.tables,20
1,1,14,6,Diagonal.Seats,29
1,1,14,6,Cubicle.seats,48
1,1,14,6,Windowed.Seats,47
1,1,14,6Chinese,Diagonal.Seats,26
1,1,14,6Chinese,Cubicle.seats,26
1,1,14,6Chinese,Windowed.Seats,24
1,1,15,3,Discussion.Cubicles,35
1,1,15,3,Soft.seats,35
1,1,15,3,Moveable.seats,17
1,1,15,4,Soft.seats,158
1,1,15,4,Sofa,32
1,1,15,5,Windowed.Seats,67
1,1,15,5,X4.man.tables,37
1,1,15,5,X8.man.tables,23
1,1,15,6,Diagonal.Seats,48
1,1,15,6,Cubicle.seats,49
1,1,15,6,Windowed.Seats,46
1,1,15,6Chinese,Diagonal.Seats,29
1,1,15,6Chinese,Cubicle.seats,30
1,1,15,6Chinese,Windowed.Seats,28
1,1,16,3,Discussion.Cubicles,37
1,1,16,3,Soft.seats,37
1,1,16,3,Moveable.seats,18
1,1,16,4,Soft.seats,168
1,1,16,4,Sofa,32
1,1,16,5,Windowed.Seats,72
1,1,16,5,X4.man.tables,39
1,1,16,5,X8.man.tables,25
1,1,16,6,Diagonal.Seats,51
1,1,16,6,Cubicle.seats,52
1,1,16,6,Windowed.Seats,48
1,1,16,6Chinese,Diagonal.Seats,31
1,1,16,6Chinese,Cubicle.seats,32
1,1,16,6Chinese,Windowed.Seats,30
1,1,17,3,Discussion.Cubicles,34
1,1,17,3,Soft.seats,34
1,1,17,3,Moveable.seats,16
1,1,17,4,Soft.seats,154
1,1,17,4,Sofa,32
1,1,17,5,Windowed.Seats,66
1,1,17,5,X4.man.tables,36
1,1,17,5,X8.man.tables,23
1,1,17,6,Diagonal.Seats,47
1,1,17,6,Cubicle.seats,48
1,1,17,6,Windowed.Seats,44
1,1,17,6Chinese,Diagonal.Seats,29
1,1,17,6Chinese,Cubicle.seats,29
1,1,17,6Chinese,Windowed.Seats,27
1,1,18,3,Discussion.Cubicles,32
1,1,18,3,Soft.seats,19
1,1,18,3,Moveable.seats,14
1,1,18,4,Soft.seats,106
1,1,18,4,Sofa,32
1,1,18,5,Windowed.Seats,45
1,1,18,5,X4.man.tables,25
1,1,18,5,X8.man.tables,16
1,1,18,6,Diagonal.Seats,22
1,1,18,6,Cubicle.seats,37
1,1,18,6,Windowed.Seats,36
1,1,18,6Chinese,Diagonal.Seats,20
1,1,18,6Chinese,Cubicle.seats,21
1,1,18,6Chinese,Windowed.Seats,19
1,1,19,3,Discussion.Cubicles,15
1,1,19,3,Soft.seats,9
1,1,19,3,Moveable.seats,6
1,1,19,4,Soft.seats,46
1,1,19,4,Sofa,31
1,1,19,5,Windowed.Seats,24
1,1,19,5,X4.man.tables,13
1,1,19,5,X8.man.tables,9
1,1,19,6,Diagonal.Seats,15
1,1,19,6,Cubicle.seats,24
1,1,19,6,Windowed.Seats,24
1,1,19,6Chinese,Diagonal.Seats,8
1,1,19,6Chinese,Cubicle.seats,12
1,1,19,6Chinese,Windowed.Seats,12
1,1,20,3,Discussion.Cubicles,11
1,1,20,3,Soft.seats,6
1,1,20,3,Moveable.seats,5
1,1,20,4,Soft.seats,34
1,1,20,4,Sofa,22
1,1,20,5,Windowed.Seats,17
1,1,20,5,X4.man.tables,10
1,1,20,5,X8.man.tables,6
1,1,20,6,Diagonal.Seats,11
1,1,20,6,Cubicle.seats,18
1,1,20,6,Windowed.Seats,17
1,1,20,6Chinese,Diagonal.Seats,6
1,1,20,6Chinese,Cubicle.seats,9
1,1,20,6Chinese,Windowed.Seats,9
1,1,21,3,Discussion.Cubicles,5
1,1,21,3,Soft.seats,3
1,1,21,3,Moveable.seats,2
1,1,21,4,Soft.seats,15
1,1,21,4,Sofa,10
1,1,21,5,Windowed.Seats,8
1,1,21,5,X4.man.tables,5
1,1,21,5,X8.man.tables,3
1,1,21,6,Diagonal.Seats,5
1,1,21,6,Cubicle.seats,8
1,1,21,6,Windowed.Seats,8
1,1,21,6Chinese,Diagonal.Seats,3
1,1,21,6Chinese,Cubicle.seats,4
1,1,21,6Chinese,Windowed.Seats,4
1,2,9,3,Discussion.Cubicles,2
1,2,9,3,Soft.seats,1
1,2,9,3,Moveable.seats,1
1,2,9,4,Soft.seats,4
1,2,9,4,Sofa,3
1,2,9,5,Windowed.Seats,3
1,2,9,5,X4.man.tables,2
1,2,9,5,X8.man.tables,1
1,2,9,6,Diagonal.Seats,2
1,2,9,6,Cubicle.seats,2
1,2,9,6,Windowed.Seats,2
1,2,9,6Chinese,Diagonal.Seats,1
1,2,9,6Chinese,Cubicle.seats,2
1,2,9,6Chinese,Windowed.Seats,2
1,2,10,3,Discussion.Cubicles,7
1,2,10,3,Soft.seats,4
1,2,10,3,Moveable.seats,3
1,2,10,4,Soft.seats,21
1,2,10,4,Sofa,14
1,2,10,5,Windowed.Seats,11
1,2,10,5,X4.man.tables,6
1,2,10,5,X8.man.tables,4
1,2,10,6,Diagonal.Seats,7
1,2,10,6,Cubicle.seats,11
1,2,10,6,Windowed.Seats,11
1,2,10,6Chinese,Diagonal.Seats,4
1,2,10,6Chinese,Cubicle.seats,6
1,2,10,6Chinese,Windowed.Seats,6
1,2,11,3,Discussion.Cubicles,14
1,2,11,3,Soft.seats,8
1,2,11,3,Moveable.seats,6
1,2,11,4,Soft.seats,45
1,2,11,4,Sofa,30
1,2,11,5,Windowed.Seats,24
1,2,11,5,X4.man.tables,13
1,2,11,5,X8.man.tables,8
1,2,11,6,Diagonal.Seats,15
1,2,11,6,Cubicle.seats,24
1,2,11,6,Windowed.Seats,23
1,2,11,6Chinese,Diagonal.Seats,7
1,2,11,6Chinese,Cubicle.seats,12
1,2,11,6Chinese,Windowed.Seats,11
1,2,12,3,Discussion.Cubicles,17
1,2,12,3,Soft.seats,10
1,2,12,3,Moveable.seats,8
1,2,12,4,Soft.seats,92
1,2,12,4,Sofa,32
1,2,12,5,Windowed.Seats,29
1,2,12,5,X4.man.tables,16
1,2,12,5,X8.man.tables,10
1,2,12,6,Diagonal.Seats,18
1,2,12,6,Cubicle.seats,29
1,2,12,6,Windowed.Seats,29
1,2,12,6Chinese,Diagonal.Seats,9
1,2,12,6Chinese,Cubicle.seats,14
1,2,12,6Chinese,Windowed.Seats,14
1,2,13,3,Discussion.Cubicles,32
1,2,13,3,Soft.seats,19
1,2,13,3,Moveable.seats,13
1,2,13,4,Soft.seats,103
1,2,13,4,Sofa,32
1,2,13,5,Windowed.Seats,44
1,2,13,5,X4.man.tables,24
1,2,13,5,X8.man.tables,15
1,2,13,6,Diagonal.Seats,22
1,2,13,6,Cubicle.seats,36
1,2,13,6,Windowed.Seats,35
1,2,13,6Chinese,Diagonal.Seats,19
1,2,13,6Chinese,Cubicle.seats,20
1,2,13,6Chinese,Windowed.Seats,18
1,2,14,3,Discussion.Cubicles,31
1,2,14,3,Soft.seats,30
1,2,14,3,Moveable.seats,15
1,2,14,4,Soft.seats,137
1,2,14,4,Sofa,32
1,2,14,5,Windowed.Seats,59
1,2,14,5,X4.man.tables,32
1,2,14,5,X8.man.tables,20
1,2,14,6,Diagonal.Seats,29
1,2,14,6,Cubicle.seats,48
1,2,14,6,Windowed.Seats,47
1,2,14,6Chinese,Diagonal.Seats,26
1,2,14,6Chinese,Cubicle.seats,26
1,2,14,6Chinese,Windowed.Seats,24
1,2,15,3,Discussion.Cubicles,35
1,2,15,3,Soft.seats,35
1,2,15,3,Moveable.seats,17
1,2,15,4,Soft.seats,158
1,2,15,4,Sofa,32
1,2,15,5,Windowed.Seats,67
1,2,15,5,X4.man.tables,37
1,2,15,5,X8.man.tables,23
1,2,15,6,Diagonal.Seats,48
1,2,15,6,Cubicle.seats,49
1,2,15,6,Windowed.Seats,46
1,2,15,6Chinese,Diagonal.Seats,29
1,2,15,6Chinese,Cubicle.seats,30
1,2,15,6Chinese,Windowed.Seats,28
1,2,16,3,Discussion.Cubicles,37
1,2,16,3,Soft.seats,37
1,2,16,3,Moveable.seats,18
1,2,16,4,Soft.seats,168
1,2,16,4,Sofa,32
1,2,16,5,Windowed.Seats,72
1,2,16,5,X4.man.tables,39
1,2,16,5,X8.man.tables,25
1,2,16,6,Diagonal.Seats,51
1,2,16,6,Cubicle.seats,52
1,2,16,6,Windowed.Seats,48
1,2,16,6Chinese,Diagonal.Seats,31
1,2,16,6Chinese,Cubicle.seats,32
1,2,16,6Chinese,Windowed.Seats,30
1,2,17,3,Discussion.Cubicles,34
1,2,17,3,Soft.seats,34
1,2,17,3,Moveable.seats,16
1,2,17,4,Soft.seats,154
1,2,17,4,Sofa,32
1,2,17,5,Windowed.Seats,66
1,2,17,5,X4.man.tables,36
1,2,17,5,X8.man.tables,23
1,2,17,6,Diagonal.Seats,47
1,2,17,6,Cubicle.seats,48
1,2,17,6,Windowed.Seats,44
1,2,17,6Chinese,Diagonal.Seats,29
1,2,17,6Chinese,Cubicle.seats,29
1,2,17,6Chinese,Windowed.Seats,27
1,2,18,3,Discussion.Cubicles,32
1,2,18,3,Soft.seats,19
1,2,18,3,Moveable.seats,14
1,2,18,4,Soft.seats,106
1,2,18,4,Sofa,32
1,2,18,5,Windowed.Seats,45
1,2,18,5,X4.man.tables,25
1,2,18,5,X8.man.tables,16
1,2,18,6,Diagonal.Seats,22
1,2,18,6,Cubicle.seats,37
1,2,18,6,Windowed.Seats,36
1,2,18,6Chinese,Diagonal.Seats,20
1,2,18,6Chinese,Cubicle.seats,21
1,2,18,6Chinese,Windowed.Seats,19
1,2,19,3,Discussion.Cubicles,15
1,2,19,3,Soft.seats,9
1,2,19,3,Moveable.seats,6
1,2,19,4,Soft.seats,46
1,2,19,4,Sofa,31
1,2,19,5,Windowed.Seats,24
1,2,19,5,X4.man.tables,13
1,2,19,5,X8.man.tables,9
1,2,19,6,Diagonal.Seats,15
1,2,19,6,Cubicle.seats,24
1,2,19,6,Windowed.Seats,24
1,2,19,6Chinese,Diagonal.Seats,8
1,2,19,6Chinese,Cubicle.seats,12
1,2,19,6Chinese,Windowed.Seats,12
1,2,20,3,Discussion.Cubicles,11
1,2,20,3,Soft.seats,6
1,2,20,3,Moveable.seats,5
1,2,20,4,Soft.seats,34
1,2,20,4,Sofa,22
1,2,20,5,Windowed.Seats,17
1,2,20,5,X4.man.tables,10
1,2,20,5,X8.man.tables,6
1,2,20,6,Diagonal.Seats,11
1,2,20,6,Cubicle.seats,18
1,2,20,6,Windowed.Seats,17
1,2,20,6Chinese,Diagonal.Seats,6
1,2,20,6Chinese,Cubicle.seats,9
1,2,20,6Chinese,Windowed.Seats,9
1,2,21,3,Discussion.Cubicles,5
1,2,21,3,Soft.seats,3
1,2,21,3,Moveable.seats,2
1,2,21,4,Soft.seats,15
1,2,21,4,Sofa,10
1,2,21,5,Windowed.Seats,8
1,2,21,5,X4.man.tables,5
1,2,21,5,X8.man.tables,3
1,2,21,6,Diagonal.Seats,5
1,2,21,6,Cubicle.seats,8
1,2,21,6,Windowed.Seats,8
1,2,21,6Chinese,Diagonal.Seats,3
1,2,21,6Chinese,Cubicle.seats,4
1,2,21,6Chinese,Windowed.Seats,4
1,3,9,3,Discussion.Cubicles,2
1,3,9,3,Soft.seats,1
1,3,9,3,Moveable.seats,1
1,3,9,4,Soft.seats,4
1,3,9,4,Sofa,3
1,3,9,5,Windowed.Seats,3
1,3,9,5,X4.man.tables,2
1,3,9,5,X8.man.tables,1
1,3,9,6,Diagonal.Seats,2
1,3,9,6,Cubicle.seats,2
1,3,9,6,Windowed.Seats,2
1,3,9,6Chinese,Diagonal.Seats,1
1,3,9,6Chinese,Cubicle.seats,2
1,3,9,6Chinese,Windowed.Seats,2
1,3,10,3,Discussion.Cubicles,6
1,3,10,3,Soft.seats,4
1,3,10,3,Moveable.seats,3
1,3,10,4,Soft.seats,19
1,3,10,4,Sofa,12
1,3,10,5,Windowed.Seats,10
1,3,10,5,X4.man.tables,6
1,3,10,5,X8.man.tables,4
1,3,10,6,Diagonal.Seats,6
1,3,10,6,Cubicle.seats,10
1,3,10,6,Windowed.Seats,10
1,3,10,6Chinese,Diagonal.Seats,3
1,3,10,6Chinese,Cubicle.seats,5
1,3,10,6Chinese,Windowed.Seats,5
1,3,11,3,Discussion.Cubicles,13
1,3,11,3,Soft.seats,8
1,3,11,3,Moveable.seats,6
1,3,11,4,Soft.seats,42
1,3,11,4,Sofa,28
1,3,11,5,Windowed.Seats,22
1,3,11,5,X4.man.tables,12
1,3,11,5,X8.man.tables,8
1,3,11,6,Diagonal.Seats,14
1,3,11,6,Cubicle.seats,22
1,3,11,6,Windowed.Seats,22
1,3,11,6Chinese,Diagonal.Seats,7
1,3,11,6Chinese,Cubicle.seats,11
1,3,11,6Chinese,Windowed.Seats,11
1,3,12,3,Discussion.Cubicles,16
1,3,12,3,Soft.seats,10
1,3,12,3,Moveable.seats,7
1,3,12,4,Soft.seats,85
1,3,12,4,Sofa,32
1,3,12,5,Windowed.Seats,27
1,3,12,5,X4.man.tables,15
1,3,12,5,X8.man.tables,10
1,3,12,6,Diagonal.Seats,17
1,3,12,6,Cubicle.seats,27
1,3,12,6,Windowed.Seats,27
1,3,12,6Chinese,Diagonal.Seats,8
1,3,12,6Chinese,Cubicle.seats,14
1,3,12,6Chinese,Windowed.Seats,13
1,3,13,3,Discussion.Cubicles,30
1,3,13,3,Soft.seats,18
1,3,13,3,Moveable.seats,13
1,3,13,4,Soft.seats,99
1,3,13,4,Sofa,32
1,3,13,5,Windowed.Seats,42
1,3,13,5,X4.man.tables,23
1,3,13,5,X8.man.tables,15
1,3,13,6,Diagonal.Seats,21
1,3,13,6,Cubicle.seats,35
1,3,13,6,Windowed.Seats,34
1,3,13,6Chinese,Diagonal.Seats,19
1,3,13,6Chinese,Cubicle.seats,19
1,3,13,6Chinese,Windowed.Seats,18
1,3,14,3,Discussion.Cubicles,29
1,3,14,3,Soft.seats,29
1,3,14,3,Moveable.seats,14
1,3,14,4,Soft.seats,131
1,3,14,4,Sofa,32
1,3,14,5,Windowed.Seats,56
1,3,14,5,X4.man.tables,31
1,3,14,5,X8.man.tables,19
1,3,14,6,Diagonal.Seats,28
1,3,14,6,Cubicle.seats,46
1,3,14,6,Windowed.Seats,45
1,3,14,6Chinese,Diagonal.Seats,25
1,3,14,6Chinese,Cubicle.seats,25
1,3,14,6Chinese,Windowed.Seats,23
1,3,15,3,Discussion.Cubicles,33
1,3,15,3,Soft.seats,33
1,3,15,3,Moveable.seats,16
1,3,15,4,Soft.seats,150
1,3,15,4,Sofa,32
1,3,15,5,Windowed.Seats,64
1,3,15,5,X4.man.tables,35
1,3,15,5,X8.man.tables,22
1,3,15,6,Diagonal.Seats,46
1,3,15,6,Cubicle.seats,47
1,3,15,6,Windowed.Seats,43
1,3,15,6Chinese,Diagonal.Seats,28
1,3,15,6Chinese,Cubicle.seats,29
1,3,15,6Chinese,Windowed.Seats,27
1,3,16,3,Discussion.Cubicles,36
1,3,16,3,Soft.seats,36
1,3,16,3,Moveable.seats,17
1,3,16,4,Soft.seats,162
1,3,16,4,Sofa,32
1,3,16,5,Windowed.Seats,69
1,3,16,5,X4.man.tables,38
1,3,16,5,X8.man.tables,24
1,3,16,6,Diagonal.Seats,49
1,3,16,6,Cubicle.seats,51
1,3,16,6,Windowed.Seats,47
1,3,16,6Chinese,Diagonal.Seats,30
1,3,16,6Chinese,Cubicle.seats,31
1,3,16,6Chinese,Windowed.Seats,29
1,3,17,3,Discussion.Cubicles,34
1,3,17,3,Soft.seats,33
1,3,17,3,Moveable.seats,16
1,3,17,4,Soft.seats,152
1,3,17,4,Sofa,32
1,3,17,5,Windowed.Seats,65
1,3,17,5,X4.man.tables,35
1,3,17,5,X8.man.tables,22
1,3,17,6,Diagonal.Seats,46
1,3,17,6,Cubicle.seats,47
1,3,17,6,Windowed.Seats,44
1,3,17,6Chinese,Diagonal.Seats,28
1,3,17,6Chinese,Cubicle.seats,29
1,3,17,6Chinese,Windowed.Seats,27
1,3,18,3,Discussion.Cubicles,32
1,3,18,3,Soft.seats,19
1,3,18,3,Moveable.seats,14
1,3,18,4,Soft.seats,107
1,3,18,4,Sofa,32
1,3,18,5,Windowed.Seats,46
1,3,18,5,X4.man.tables,25
1,3,18,5,X8.man.tables,16
1,3,18,6,Diagonal.Seats,23
1,3,18,6,Cubicle.seats,37
1,3,18,6,Windowed.Seats,36
1,3,18,6Chinese,Diagonal.Seats,20
1,3,18,6Chinese,Cubicle.seats,21
1,3,18,6Chinese,Windowed.Seats,19
1,3,19,3,Discussion.Cubicles,15
1,3,19,3,Soft.seats,9
1,3,19,3,Moveable.seats,7
1,3,19,4,Soft.seats,48
1,3,19,4,Sofa,31
